,DATEMONTHINT,STATION,RIDERS_PER_WEEKDAY
4524,201501,Addison Road,3056.6
4525,201501,Anacostia,6626.4
4526,201501,Archives-Navy Memorial,7322.0
4527,201501,Arlington Cemetery,418.7
4528,201501,Ballston,10801.9
4529,201501,Benning Road,2904.7
4530,201501,Bethesda,9922.2
4531,201501,Braddock Road,4380.2
4532,201501,Branch Avenue,5411.4
4533,201501,Brookland,6694.1
4534,201501,Capitol Heights,1901.1
4535,201501,Capitol South,6970.9
4536,201501,Cheverly,1231.5
4537,201501,Clarendon,4528.0
4538,201501,Cleveland Park,4131.8
4539,201501,College Park-U of MD,3520.8
4540,201501,Columbia Heights,11754.4
4541,201501,Congress Heights,2375.8
4542,201501,Court House,7210.7
4543,201501,Crystal City,10932.8
4544,201501,Deanwood,1462.3
4545,201501,Dunn Loring,4067.3
4546,201501,Dupont Circle,18500.9
4547,201501,East Falls Church,3934.0
4548,201501,Eastern Market,5681.4
4549,201501,Eisenhower Avenue,1453.9
4550,201501,Farragut North,22975.0
4551,201501,Farragut West,20461.5
4552,201501,Federal Center SW,4967.3
4553,201501,Federal Triangle,7297.8
4554,201501,Foggy Bottom,19371.7
4555,201501,Forest Glen,2205.9
4556,201501,Fort Totten,6863.8
4557,201501,Franconia-Springfield,6911.2
4558,201501,Friendship Heights,8808.3
4559,201501,Gallery Place-Chinatown,24787.4
4560,201501,Georgia Avenue-Petworth,6028.1
4561,201501,Glenmont,5660.4
4562,201501,Greenbelt,5434.5
4563,201501,Greensboro,920.8
4564,201501,Grosvenor,5205.6
4565,201501,Huntington,7135.8
4566,201501,Judiciary Square,8656.4
4567,201501,King St-Old Town,7241.6
4568,201501,L'Enfant Plaza,17455.4
4569,201501,Landover,1767.8
4570,201501,Largo Town Center,4315.2
4571,201501,McLean,1355.5
4572,201501,McPherson Square,14608.8
4573,201501,Medical Center,5494.5
4574,201501,Metro Center,24655.1
4575,201501,Minnesota Avenue,2531.5
4576,201501,Morgan Blvd.,1938.6
4577,201501,Mt. Vernon Square-UDC,4741.1
4578,201501,Navy Yard-Ballpark,5581.5
4579,201501,Naylor Road,2591.7
4580,201501,New Carrollton,7541.1
4581,201501,NoMa-Gallaudet U,8525.4
4582,201501,Pentagon,14441.6
4583,201501,Pentagon City,12463.2
4584,201501,Potomac Avenue,3629.7
4585,201501,Prince George's Plaza,4410.0
4586,201501,Reagan Washington National Airport,5127.6
4587,201501,Rhode Island Avenue,5468.4
4588,201501,Rockville,4104.5
4589,201501,Rosslyn,13746.5
4590,201501,Shady Grove,11417.4
4591,201501,Shaw-Howard University,4983.4
4592,201501,Silver Spring,11377.5
4593,201501,Smithsonian,7477.5
4594,201501,Southern Avenue,4528.1
4595,201501,Spring Hill,1113.0
4596,201501,Stadium-Armory,2909.6
